Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,2.19826960564,0,1.7976931348623157E308,-1,2.19826960564,0.0,1,0.0,0,2.19826960564,SAT,,5.202,
2,2,1,1.78091979027,0,3.860351322937011,-1,1.78091979027,0.0,1,0.0,1,3.97918939591,SAT,,4.897,
3,3,1,1.77696442604,0,3.3177965629577635,-1,1.77696442604,0.0,1,0.0,1,5.75615382195,SAT,,4.847,
4,4,1,1.96671772003,0,3.312653969573974,-1,1.96671772003,0.0,1,0.0,2,7.72287154198,SAT,,5.007,
5,5,1,2.03790235519,0,3.312653969573974,-1,2.03790235519,0.0,1,0.0,2,9.76077389717,SAT,,5.174,
6,6,1,1.95538425446,0,3.312653969573974,-1,1.95538425446,0.0,1,0.0,3,11.716158151630001,SAT,,4.5,
7,7,1,1.91186928749,0,3.312653969573974,-1,1.91186928749,0.0,1,0.0,3,13.62802743912,SAT,,4.999,
8,8,1,1.9254989624,0,3.312653969573974,-1,1.9254989624,0.0,1,0.0,4,15.553526401520001,SAT,,5.074,
9,9,1,1.8927423954,0,3.312653969573974,-1,1.8927423954,0.0,1,0.0,4,17.446268796920002,SAT,,4.372,
10,10,1,1.81652092934,0,3.312653969573974,-1,1.81652092934,0.0,1,0.0,5,19.262789726260003,SAT,,4.821,
11,11,1,1.90359258652,0,3.312653969573974,-1,1.90359258652,0.0,1,0.0,5,21.16638231278,SAT,,5.075,
12,12,1,1.89583301544,0,3.312653969573974,-1,1.89583301544,0.0,1,0.0,6,23.062215328220002,SAT,,4.294,
13,13,1,1.91389036179,0,3.312653969573974,-1,1.91389036179,0.0,1,0.0,6,24.97610569001,SAT,,4.545,
14,14,1,1.8840277195,0,3.312653969573974,-1,1.8840277195,0.0,1,0.0,7,26.860133409510002,SAT,,4.449,
15,15,1,1.95134615898,0,3.312653969573974,-1,1.95134615898,0.0,1,0.0,7,28.811479568490004,SAT,,4.597,
16,16,1,1.91566801071,0,3.312653969573974,-1,1.91566801071,0.0,1,0.0,8,30.727147579200004,SAT,,4.983,
17,17,1,2.02172708511,0,3.312653969573974,-1,2.02172708511,0.0,1,0.0,8,32.74887466431,SAT,,4.546,
