Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,0.364917993546,0,1.7976931348623157E308,-1,0.364917993546,0.0,1,0.0,0,0.364917993546,SAT,,4.665,
2,2,1,0.337595939636,0,1.4769936073303223,-1,0.337595939636,0.0,1,0.0,1,0.7025139331820001,SAT,,3.102,
3,3,1,0.24818444252,0,1.4414752471923826,-1,0.24818444252,0.0,1,0.0,1,0.950698375702,SAT,,2.881,
4,4,1,0.370069980621,0,1.3252399909973143,-1,0.370069980621,0.0,1,0.0,1,1.320768356323,SAT,,2.874,
5,5,1,0.317469120026,0,1.3252399909973143,-1,0.317469120026,0.0,1,0.0,1,1.638237476349,SAT,,2.901,
6,6,1,0.302433252335,0,1.3252399909973143,-1,0.302433252335,0.0,1,0.0,2,1.940670728684,SAT,,3.512,
7,7,1,0.313057422638,0,1.3252399909973143,-1,0.313057422638,0.0,1,0.0,2,2.253728151322,SAT,,3.548,
8,8,1,0.347645044327,0,1.3252399909973143,-1,0.347645044327,0.0,1,0.0,2,2.601373195649,SAT,,3.882,
