Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,3.91186976433,0,1.7976931348623157E308,-1,3.91186976433,0.0,1,0.0,0,3.91186976433,SAT,,6.459,
2,2,1,4.12784385681,0,6.088031529235839,-1,4.12784385681,0.0,1,0.0,1,8.03971362114,SAT,,6.605,
3,3,1,3.96208930016,0,6.088031529235839,-1,3.96208930016,0.0,1,0.0,1,12.001802921300001,SAT,,6.554,
4,4,1,3.97607064247,0,6.088031529235839,-1,3.97607064247,0.0,1,0.0,2,15.97787356377,SAT,,6.914,
5,5,1,4.03373098373,0,6.088031529235839,-1,4.03373098373,0.0,1,0.0,2,20.0116045475,SAT,,6.58,
6,6,1,4.12374925613,0,6.088031529235839,-1,4.12374925613,0.0,1,0.0,3,24.13535380363,SAT,,6.605,
7,7,1,4.13015508652,0,6.088031529235839,-1,4.13015508652,0.0,1,0.0,3,28.265508890150002,SAT,,6.507,
8,8,1,4.01361250877,0,6.088031529235839,-1,4.01361250877,0.0,1,0.0,4,32.279121398920005,SAT,,6.28,
9,9,1,4.12882113457,0,6.088031529235839,-1,4.12882113457,0.0,1,0.0,4,36.40794253349,SAT,,7.063,
10,10,1,3.96534442902,0,6.088031529235839,-1,3.96534442902,0.0,1,0.0,5,40.37328696251,SAT,,6.479,
11,11,1,4.17696499825,0,6.088031529235839,-1,4.17696499825,0.0,1,0.0,5,44.55025196076,SAT,,7.283,
12,12,1,4.07138824463,0,6.088031529235839,-1,4.07138824463,0.0,1,0.0,6,48.62164020539,SAT,,6.505,
13,13,1,4.09746456146,0,6.088031529235839,-1,4.09746456146,0.0,1,0.0,6,52.71910476685,SAT,,7.008,
14,14,1,4.11718559265,0,6.088031529235839,-1,4.11718559265,0.0,1,0.0,7,56.836290359500005,SAT,,7.164,
15,15,1,4.16954541206,0,6.088031529235839,-1,4.16954541206,0.0,1,0.0,7,61.00583577156,SAT,,7.107,
16,16,1,4.19009542465,0,6.088031529235839,-1,4.19009542465,0.0,1,0.0,8,65.19593119621,SAT,,7.058,
17,17,1,4.22481656075,0,6.088031529235839,-1,4.22481656075,0.0,1,0.0,8,69.42074775696,SAT,,7.114,
18,18,1,4.07091021538,0,6.088031529235839,-1,4.07091021538,0.0,1,0.0,9,73.49165797234,SAT,,6.556,
19,19,1,4.08348202705,0,6.088031529235839,-1,4.08348202705,0.0,1,0.0,9,77.57513999938999,SAT,,6.655,
20,20,1,4.14049649239,0,6.088031529235839,-1,4.14049649239,0.0,1,0.0,10,81.71563649177999,SAT,,7.182,
21,21,1,4.10372924805,0,6.088031529235839,-1,4.10372924805,0.0,1,0.0,10,85.81936573982999,SAT,,6.655,
22,22,1,4.08612728119,0,6.088031529235839,-1,4.08612728119,0.0,1,0.0,11,89.90549302101999,SAT,,7.182,
23,23,1,4.23792481422,0,6.088031529235839,-1,4.23792481422,0.0,1,0.0,11,94.14341783523999,SAT,,7.284,
24,24,1,4.07652592659,0,6.088031529235839,-1,4.07652592659,0.0,1,0.0,12,98.21994376182998,SAT,,6.629,
25,25,1,4.17302918434,0,6.088031529235839,-1,4.17302918434,0.0,1,0.0,12,102.39297294616998,SAT,,6.68,
26,26,1,4.04268336296,0,6.088031529235839,-1,4.04268336296,0.0,1,0.0,13,106.43565630912998,SAT,,6.634,
27,27,1,4.16692233086,0,6.088031529235839,-1,4.16692233086,0.0,1,0.0,13,110.60257863998999,SAT,,7.182,
28,28,1,3.9755179882,0,6.088031529235839,-1,3.9755179882,0.0,1,0.0,14,114.57809662818998,SAT,,6.938,
29,29,1,3.96214389801,0,6.088031529235839,-1,3.96214389801,0.0,1,0.0,14,118.54024052619998,SAT,,6.981,
30,30,1,3.99418020248,0,6.088031529235839,-1,3.99418020248,0.0,1,0.0,15,122.53442072867998,SAT,,6.529,
31,31,1,4.10455417633,0,6.088031529235839,-1,4.10455417633,0.0,1,0.0,15,126.63897490500997,SAT,,6.382,
32,32,1,4.12081193924,0,6.088031529235839,-1,4.12081193924,0.0,1,0.0,16,130.75978684425,SAT,,6.664,
33,33,1,4.13273358345,0,6.088031529235839,-1,4.13273358345,0.0,1,0.0,16,134.8925204277,SAT,,7.007,
